argn: 2
-------------------- beg ---------------------
     0 io_demo(33657):->SystemTap[1]
     5 io_demo(33657): ->uct_iface_open[1]
    11 io_demo(33657):  ->uct_tcp_iface_t_new[1]
    16 io_demo(33657):   ->uct_base_iface_t_init[1]
    20 io_demo(33657):    ->uct_iface_t_init[1]
    24 io_demo(33657):    <-uct_iface_t_init[1]cost=2us 
    27 io_demo(33657):    ->uct_worker_progress_init[1]
    31 io_demo(33657):    <-uct_worker_progress_init[1]cost=2us 
    34 io_demo(33657):   <-uct_base_iface_t_init[1]cost=16us 
    37 io_demo(33657):   ->uct_iface_mpool_config_copy[1]
    41 io_demo(33657):   <-uct_iface_mpool_config_copy[1]cost=3us 
    43 io_demo(33657):   ->uct_iface_mpool_config_copy[2]
    47 io_demo(33657):   <-uct_iface_mpool_config_copy[2]cost=2us 
   312 io_demo(33657):   ->uct_tcp_iface_listener_init[1]
   347 io_demo(33657):   <-uct_tcp_iface_listener_init[1]cost=33us 
   349 io_demo(33657):  <-uct_tcp_iface_t_new[1]cost=337us 
   356 io_demo(33657): <-SystemTap[1]: 352us
  1223 io_demo(33657): ->SystemTap[2]
  1229 io_demo(33657):  ->uct_dc_mlx5_iface_t_new[1]
  1237 io_demo(33657):   ->uct_ib_mlx5_devx_sq_length[1]
  1241 io_demo(33657):   <-uct_ib_mlx5_devx_sq_length[1]cost=2us 
  1244 io_demo(33657):   ->uct_ib_mlx5_parse_cqe_zipping[1]
  1247 io_demo(33657):   <-uct_ib_mlx5_parse_cqe_zipping[1]cost=3us 
  1251 io_demo(33657):   ->uct_rc_mlx5_iface_common_t_init[1]
  1256 io_demo(33657):    ->uct_rc_iface_t_init[1]
  1262 io_demo(33657):     ->uct_ib_iface_t_init[1]
  1267 io_demo(33657):      ->uct_base_iface_t_init[2]
  1271 io_demo(33657):       ->uct_iface_t_init[2]
  1275 io_demo(33657):       <-uct_iface_t_init[2]cost=3us 
  1278 io_demo(33657):       ->uct_worker_progress_init[2]
  1281 io_demo(33657):       <-uct_worker_progress_init[2]cost=3us 
  1283 io_demo(33657):      <-uct_base_iface_t_init[2]cost=15us 
  1287 io_demo(33657):      ->uct_ib_device_find_port[1]
  1290 io_demo(33657):       ->uct_ib_device_name[1]
  1294 io_demo(33657):        ->ibv_get_device_name[1]
